PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG, HMDB_ID
5123,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,63042,LC/MS Neg,100020837,2575,153.01933,303-07-1,9338,8974,,HMDB13676
4762,2-acetamidophenol sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",48580,LC/MS Neg,100006190,2251,230.01286,40712-60-5,181671,158023,,
115,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,LC/MS Polar,381,3500,160.06153,542-32-5;1118-90-7,469,456,C00956,HMDB00510
500,2-aminobutyrate,Amino Acid,Glutathione Metabolism,42374,LC/MS Pos Early,1128,2059,104.07061,1492-24-6,439691,388757,C02261,HMDB00650
1572,2-aminoheptanoate,Lipid,"Fatty Acid, Amino",43761,LC/MS Pos Early,100004542,3160,146.11756,1115-90-8,227939,198338,,
1577,2-aminooctanoate,Lipid,"Fatty Acid, Amino",43343,LC/MS Pos Late,100004227,750,160.13321,644-90-6,69522,62727,,HMDB00991
5222,2-aminophenol sulfate,Xenobiotics,Chemical,43266,LC/MS Neg,100004322,1677,188.0023,,181670,158022,,HMDB61116
337,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.07136,488-15-3,164623,144317,,HMDB00317
385,2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",63739,LC/MS Polar,100021372,1065,149.02778,583-91-5,,,,
4753,2-hydroxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",33173,LC/MS Neg,100001791,1674,246.00778,,86290013,34448632,,
1736,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.29047,,5225199,4395406,,
502,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.04006,,,,,
1730,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840,187.13396,5393-81-7,21488,20195,,
1485,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,LC/MS Polar,100002070,3352.8,147.02989,40951-21-1,43,42,C02630,HMDB0059655
4049,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,18281,LC/MS Neg,1869,2184,194.04588,487-54-7,10253,9835,C07588,HMDB00840
4769,2-hydroxyibuprofen,Xenobiotics,"Drug - Analgesics, Anesthetics",43330,LC/MS Pos Late,100004169,807,205.12231,51146-55-5,10443535,,,HMDB60920
1731,2-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",52916,LC/MS Neg,100008934,5211,215.16526,2984-55-6,97783,88259,,
1732,2-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",32413,LC/MS Neg,100001180,5364,243.19656,2507-55-3,1563,1508,C13790,HMDB02261
1739,2-hydroxynervonate*,Lipid,"Fatty Acid, Monohydroxy",61698,LC/MS Neg,100015638,6345,381.33742,,5312783,4472208,,
1729,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22036,LC/MS Neg,100000743,3736.8,159.10266,617-73-2,94180,84994,,HMDB02264
1733,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.22786,764-67-0,92836,83805,,HMDB31057
146,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,1432,LC/MS Polar,235,858.6,151.04006,614-75-5,11970,11476,C05852,HMDB00669
1471,2-hydroxyphytanate*,Lipid,"Fatty Acid, Branched",61702,LC/MS Neg,100004414,5751,327.29047,14721-68-7,189026,164249,,
1531,2-hydroxysebacate,Lipid,"Fatty Acid, Dicarboxylate",63357,LC/MS Neg,100020378,1324,217.10814,103963-71-9,128458,113866,,HMDB00424
1735,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5695,299.25917,629-22-1,69417,62625,C03045,
4269,2-isopropylmalate,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,76,C02504,HMDB00402
4592,2-keto-3-deoxy-gluconate,Xenobiotics,Food Component/Plant,48141,LC/MS Polar,100005946,1900,177.04046,17510-99-5,161227,141630,C00204,HMDB01353
301,2-ketocaprylate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",63120,LC/MS Neg,100020833,3951,157.08701,328-51-8,67600,60921,,HMDB13211
4755,2-methoxyacetaminophen glucuronide*,Xenobiotics,"Drug - Analgesics, Anesthetics",33161,LC/MS Neg,100001795,1633,356.0987,,14367271,52083351,,
4754,2-methoxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",47031,LC/MS Neg,100001793,1949,260.02343,,86290014,34448633,,
5326,2-methoxyresorcinol sulfate,Xenobiotics,Chemical,48445,LC/MS Neg,100006184,1863,218.99688,1446269-78-8,,,,
339,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050,246.16999,31023-25-3,6426901,4932320,,HMDB00378
341,2-methylbutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",31928,LC/MS Pos Early,100001155,2000,160.09682,52320-67-9,193872,168243,,HMDB00339
15,2-methylserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",53229,LC/MS Pos Early,100009246,1652,120.06552,,94309,85112,C02115,
5288,2-naphthol sulfate,Xenobiotics,Chemical,62520,LC/MS Neg,100020515,3658,223.00705,,74428,67020,,
422,2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760,174.08732,10/4/3715,558,542,C03771,HMDB04225
4174,2-piperidinone,Xenobiotics,Food Component/Plant,43400,LC/MS Pos Early,100004295,1675,100.07569,675-20-7,12665,12144,,HMDB11749
58,2-pyrrolidinone,Amino Acid,Glutamate Metabolism,31675,LC/MS Pos Early,100001081,1262,86.06004,616-45-5,12025,11530,,HMDB02039
2929,21-hydroxypregnenolone disulfate,Lipid,Pregnenolone Steroids,46115,LC/MS Neg,100001999,3935,245.06711,1164-98-3,134595,118625,,
1796,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.03498,759-06-8,13120901,17215960,,HMDB00498
1795,"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62950,LC/MS Polar,100002284,1660,119.03498,5057-93-2,10964471,9139682,,HMDB02453
1799,"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62952,LC/MS Polar,100001730,2204,119.03498,51267-44-8,,,,
4614,"3,4-methyleneheptanoate",Xenobiotics,Food Component/Plant,53026,LC/MS Neg,100006651,3807,141.0921,,,,,
5362,"3,5-dichloro-2,6-dihydroxybenzoic acid",Xenobiotics,Chemical,63589,LC/MS Polar,100021324,693,220.94138,,,24339141,,
4148,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism,34399,LC/MS Neg,100001398,1418,195.05236,13087-49-5,83126,74994,C16360,HMDB01982
3853,3-(3-amino-3-carboxypropyl)uridine*,Nucleotide,"Pyrimidine Metabolism, Uracil containing",62924,LC/MS Neg,100001426,1369,344.10993,52745-94-5,171198,149669,,
4136,3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,35635,LC/MS Neg,100001624,1980,165.05571,621-54-5,91,89,C11457,HMDB00375
168,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,32197,LC/MS Neg,240,1379,181.05063,6482-98-0,9378,9010,C03672,HMDB00755
4760,3-(methylthio)acetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",62567,LC/MS Neg,100020827,2265,276.00059,,,,,
4750,3-(N-acetyl-L-cystein-S-yl) acetaminophen,Xenobiotics,"Drug - Analgesics, Anesthetics",45721,LC/MS Neg,2048,2094,311.07072,52372-86-8,83967,75765,,
420,3-amino-2-piperidone,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62853,LC/MS Pos Early,100020361,2065,115.08659,1892-22-4,5200225,4371576,,HMDB00323
3887,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,LC/MS Pos Early,1114,2190,104.07061,10569-72-9;214139-20-5,64956,58481,C05145,HMDB03911
5363,"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*",Xenobiotics,Chemical,63681,LC/MS Neg,100021707,4505,264.89087,,,,,
1529,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**,Lipid,"Fatty Acid, Dicarboxylate",61871,LC/MS Neg,100020004,4000,267.12379,,194501,168762,,
1527,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty Acid, Dicarboxylate",31787,LC/MS Neg,100001178,2800,239.09249,86879-39-2,123979,110498,,HMDB61112
4383,3-ethylcatechol sulfate (1),Xenobiotics,Food Component/Plant,62796,LC/MS Neg,100020851,3422,217.01761,,,,,
4274,3-formylindole,Xenobiotics,Food Component/Plant,62863,LC/MS Pos Early,100020219,2736,146.06004,487-89-8,10256,9838,C08493,HMDB29737
345,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",32397,LC/MS Neg,100001170,975,117.05571,4374-62-3,188979,164207,,HMDB00396
5356,3-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,63227,LC/MS Neg,100020975,1849,188.0023,,,,,
2857,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,531,LC/MS Polar,112,2850,161.04555,503-49-1,1662,4573695,C03761,HMDB00355
1490,3-hydroxyadipate*,Lipid,"Fatty Acid, Dicarboxylate",62069,LC/MS Polar,100004396,3131,161.04554,,151913,133894,,HMDB00345
1708,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,542,LC/MS Polar,254,1480,103.04007,625-72-9,441,428,C01089,HMDB00357
1625,3-hydroxybutyroylglycine**,Lipid,Fatty Acid Metabolism (Acyl Glycine),62064,LC/MS Neg,100020211,889,160.06152,,,,,
1745,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4634.7,187.13396,5561-87-5,26612,24790,,HMDB02203
1698,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",63358,LC/MS Pos Late,100021141,961,332.24315,,,59664325,,HMDB61636
1509,3-hydroxydodecanedioate*,Lipid,"Fatty Acid, Dicarboxylate",62915,LC/MS Neg,100001454,2252,245.13944,34574-69-1,16663321,13628081,,HMDB00413
1742,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",53230,LC/MS Neg,100006367,1725,131.07136,10191-24-9,151492,133518,,
1695,3-hydroxyhexanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",62557,LC/MS Pos Early,100020825,2918,276.18055,,,,,
4051,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1687,194.04588,1637-75-8,450268,396603,,HMDB06116
365,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,LC/MS Polar,111,1619,103.04007,2068-83-9,87,10140307,C06001,HMDB00336
1748,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.16526,53941-38-1,94216,85026,,HMDB00387
1749,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",21158,LC/MS Neg,100000882,5335,243.19656,3422-31-9,16064,15252,,
1743,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446,159.10266,88930-08-9,26613,24791,,HMDB01954
1752,3-hydroxyoleate*,Lipid,"Fatty Acid, Monohydroxy",61843,LC/MS Neg,100019966,5508,297.24351,,,,,
1700,3-hydroxyoleoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61840,LC/MS Pos Late,100019801,1406,442.3527,,,48061587,,
5327,3-hydroxypyridine sulfate,Xenobiotics,Chemical,48448,LC/MS Neg,100006098,1595.5,173.98665,1955-23-3,,16232314,,
1747,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Neg,100001145,1282,217.10814,73141-46-5,3017884,2285525,,HMDB00350
4531,3-hydroxystachydrine*,Xenobiotics,Food Component/Plant,62062,LC/MS Pos Early,100020203,1049,160.09682,,442640,391002,,
1781,3-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",52938,LC/MS Neg,100008933,5674,299.25917,45261-96-9,5282907,4446034,,
281,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2222.2,212.0023,2642-37-7,10258,9840,,HMDB00682
4112,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,48763,LC/MS Neg,100006375,2163,218.99688,,,,,
4113,3-methoxycatechol sulfate (2),Xenobiotics,Benzoate Metabolism,48752,LC/MS Neg,100006376,2200,218.99688,,,,,
188,3-methoxytyramine sulfate,Amino Acid,Tyrosine Metabolism,44618,LC/MS Neg,100004634,1722,246.04416,,,21233674,,
186,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,12017,LC/MS Pos Early,1342,2555,212.09174,300-48-1,1670,8948,,HMDB01434
4081,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,46165,LC/MS Neg,100004112,2790,203.00196,,,,,
360,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Neg,100000936,1465,115.04006,3715-29-5,49,48,C00141,HMDB00019
336,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.05572,1460-34-0;51829-07-3,47,46,C00671,HMDB03736
1491,3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate",36749,LC/MS Polar,100001765,2865,159.06628,1/3/3058,12292,11789,,HMDB00555
3862,3-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",35132,LC/MS Pos Early,100001466,2176,258.10845,21028-20-6,159649,9164190,,
316,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.04518,5746-90-7,1551553,1267861,,HMDB00522
1484,3-methylglutarate/2-methylglutarate,Lipid,"Fatty Acid, Dicarboxylate",54676,LC/MS Polar,100010834,2832,145.05063,,,11781,,HMDB00752
320,3-methylglutarylcarnitine (2),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46548,LC/MS Pos Early,100005850,2687,290.15982,,128145,113619,,HMDB00552
69,3-methylhistidine,Amino Acid,Histidine Metabolism,15677,LC/MS Neg,100000042,906.3,168.07785,368-16-1,64969,58494,C01152,HMDB00479
4151,3-methylxanthine,Xenobiotics,Xanthine Metabolism,32445,LC/MS Neg,100001108,1700,165.0418,1076-22-8,70639,63805,C16357,HMDB01886
4138,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,15749,LC/MS Neg,100000010,2860,149.0608,501-52-0,107,10181339,C05629,HMDB00764
1087,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1414,LC/MS Pos Early,132,590,187.00022,80731-10-8,724,10669764,C00597,HMDB00807
412,3-sulfo-L-alanine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",47089,LC/MS Polar,382,2890,167.99722,498-40-8,72886,65718,C00506,HMDB02757
3848,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Polar,1053,2230,131.04621,462-88-4,111,109,C02642,HMDB00026
3158,3b-hydroxy-5-cholenoic acid,Lipid,Secondary Bile Acid Metabolism,43507,LC/MS Neg,100004182,5205,373.27482,5255-17-4,92997,83950,,HMDB00308
2885,"3beta,7alpha-dihydroxy-5-cholestenoate",Lipid,Sterol,36803,LC/MS Neg,100001611,5275,431.31668,115538-84-6,3081084,2338764,C17335,
2886,3beta-hydroxy-5-cholestenoate,Lipid,Sterol,54805,LC/MS Neg,100006370,5398,415.32177,6561-58-6,165511,,C17333,
5341,4-acetamidobenzoate,Xenobiotics,Chemical,57585,LC/MS Neg,100009413,1403,178.05096,556-08-1,19266,18177,D03836,
484,4-acetamidobutanoate,Amino Acid,Polyamine Metabolism,1558,LC/MS Pos Early,1113,1350,146.08117,3025-96-5,18189,17180,C02946,HMDB03681
4749,4-acetamidophenol,Xenobiotics,"Drug - Analgesics, Anesthetics",12032,LC/MS Neg,1383,2173.7,150.05605,103-90-2,1983,1906,C06804,HMDB01859
4752,4-acetamidophenylglucuronide,Xenobiotics,"Drug - Analgesics, Anesthetics",15736,LC/MS Neg,100000043,1400,326.08814,120595-80-4,83944,3239926,,HMDB10316
4751,4-acetaminophen sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",37475,LC/MS Neg,2049,1792,230.01287,10066-90-7;32113-41-0,83939,75741,C06804,HMDB59911
4303,4-acetylcatechol sulfate (1),Xenobiotics,Food Component/Plant,62798,LC/MS Neg,100020853,1774,230.99688,,,,,
4094,4-acetylphenol sulfate,Xenobiotics,Benzoate Metabolism,44620,LC/MS Neg,100000711,2375,215.00196,,4684006,3872009,,
4085,4-allylcatechol sulfate,Xenobiotics,Benzoate Metabolism,63597,LC/MS Neg,100020578,3571,229.01761,,,,,
4553,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,37181,LC/MS Neg,100001868,3805,213.0227,,,,,
2896,4-cholesten-3-one,Lipid,Sterol,38125,LC/MS Pos Late,100002227,2520,385.3465,601-57-0,91477,427,C00599,HMDB00921
4083,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,63072,LC/MS Neg,100020536,3379,217.01761,,,,,
4098,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,36099,LC/MS Neg,100001756,3580,201.0227,123-07-9,20822574,,C13637,HMDB62551
486,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320,146.09241,463-003;463-00-3,500,486,C01035,HMDB03464
5083,4-hydroxy duloxetine glucuronide*,Xenobiotics,Drug - Psychoactive,62480,LC/MS Neg,100020796,3705,488.13846,,,28516882,,HMDB60763
1486,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",40062,LC/MS Polar,100002537,3073,161.00916,1187-99-1,599,579,C01127,HMDB02070
